source,target,weight,community_source,community_target
Gilberto Astolfi,Diego André Sant’Ana,2,0,0
Gilberto Astolfi,Marcio Carneiro Brito Pache,2,0,0
Gilberto Astolfi,José Augusto Correa Martins,1,0,0
Gilberto Astolfi,Wellington Pereira Soares,1,0,0
Gilberto Astolfi,Sebastião Lucas Neves de Melo,1,0,0
Gilberto Astolfi,Vanessa Weber,2,0,0
Gilberto Astolfi,Natália da Silva Heimbach,1,0,0
Gilberto Astolfi,Rodrigo Gonçalves Mateus,1,0,0
Gilberto Astolfi,Hemerson Pistori,3,0,0
Gilberto Astolfi,Edson Takashi Matsubara,2,0,0
Gilberto Astolfi,João Vitor de Andrade Porto,1,0,0
Gilberto Astolfi,Fábio Prestes Cesar Rezende,1,0,0
Gilberto Astolfi,Everton Castel�ão Tetila,2,0,0
Gilberto Astolfi,Geazy Vilharva Menezes,1,0,0
Gilberto Astolfi,Adair da Silva Oliveira,1,0,0
Gilberto Astolfi,Gabriel Kirsten Menezes,1,0,0
Gilberto Astolfi,Nícolas Alessandro de Souza Belete,1,0,0
Pedro H. T. Gama,José Marcato,1,11,11
Pedro H. T. Gama,Hugo Oliveira,1,11,11
Pedro H. T. Gama,Jefersson A. dos Santos,1,11,11
Zhenming Shi,Wesley Nunes Gonçalves,1,2,11
Zhenming Shi,Shaoqiang Meng,1,2,2
Zhenming Shi,Saied Pirasteh,1,2,2
Zhenming Shi,Silvia Liberata Ullo,1,2,2
Zhenming Shi,Ming Peng,1,2,2
Zhenming Shi,Changshi Zhou,1,2,2
Zhenming Shi,Limin Zhang,1,2,2
José Romualdo de Sousa Lima,Davi de Carvalho Diniz Melo,1,3,3
José Romualdo de Sousa Lima,Jamil Alexandre Ayach Anache,1,3,3
José Romualdo de Sousa Lima,Valéria Peixoto Borges,1,3,3
José Romualdo de Sousa Lima,Diego G. Miralles,1,3,3
José Romualdo de Sousa Lima,Brecht Martens,1,3,3
José Romualdo de Sousa Lima,Joshua B. Fisher,1,3,3
José Romualdo de Sousa Lima,Rodolfo Nóbrega,1,3,3
José Romualdo de Sousa Lima,A. Moreno,1,3,3
José Romualdo de Sousa Lima,Osvaldo Cabral,1,3,3
José Romualdo de Sousa Lima,Thiago Rangel Rodrigues,1,3,3
José Romualdo de Sousa Lima,Bergson G. Bezerra,1,3,3
José Romualdo de Sousa Lima,Cláudio Moisés Santos e Silva,1,3,3
José Romualdo de Sousa Lima,Antônio Alves Meira Neto,1,3,3
José Romualdo de Sousa Lima,M. S. B. de Moura,1,3,3
José Romualdo de Sousa Lima,Thiago V. Marques,1,3,3
José Romualdo de Sousa Lima,Suany Campos,1,3,3
José Romualdo de Sousa Lima,José de Souza Nogueira,1,3,3
José Romualdo de Sousa Lima,Rafael Rosolem,1,3,3
José Romualdo de Sousa Lima,Rodolfo Souza,1,3,3
José Romualdo de Sousa Lima,Antônio Celso Dantas Antonino,1,3,3
José Romualdo de Sousa Lima,David Holl,1,3,3
José Romualdo de Sousa Lima,Mauricio Galleguillos,1,3,3
José Romualdo de Sousa Lima,Jorge F. Pérez‐Quezada,1,3,3
José Romualdo de Sousa Lima,Anne Verhoef,1,3,3
José Romualdo de Sousa Lima,Lars Kutzbach,1,3,3
José Romualdo de Sousa Lima,Eduardo Soares de Souza,1,3,3
José Romualdo de Sousa Lima,M. I. Gassman,1,3,3
José Romualdo de Sousa Lima,Claudio F. Pérez,1,3,3
José Romualdo de Sousa Lima,N. Tonti,1,3,3
José Romualdo de Sousa Lima,Gabriela Posse,1,3,3
José Romualdo de Sousa Lima,Dominik Rains,1,3,3
José Romualdo de Sousa Lima,Paulo Tarso Sanches de Oliveira,1,3,3
José Romualdo de Sousa Lima,Edson Wendland,1,3,3
Antônio Maria Garcia Tommaselli,José Marcato,2,11,11
Antônio Maria Garcia Tommaselli,Veraldo Liesenberg,1,11,11
Antônio Maria Garcia Tommaselli,Jefersson A. dos Santos,1,11,11
Antônio Maria Garcia Tommaselli,Mariana Campos,1,11,11
Antônio Maria Garcia Tommaselli,Eija Honkavaara,1,11,11
Antônio Maria Garcia Tommaselli,Raul Queiroz Feitosa,1,11,11
Antônio Maria Garcia Tommaselli,Alessandra Rodrigues Gomes,1,11,11
Antônio Maria Garcia Tommaselli,Rafael Lemos Paes,1,11,11
Antônio Maria Garcia Tommaselli,Edson Aparecido Mitishita,1,11,11
Antônio Maria Garcia Tommaselli,Fatima N. Sombra de Sombra,1,11,11
Antônio Maria Garcia Tommaselli,Alejandro C. Frery,1,11,11
Esteic Janaina Santos Batista,Anderson Corrêa de Lima,1,4,4
Esteic Janaina Santos Batista,Castro Júnior,1,4,4
Esteic Janaina Santos Batista,Thiago G. de Almeida,1,4,4
Marcelo B. Pereira,Awdren Fontão,1,5,5
Marcelo B. Pereira,Klinsman M. Goncalves,1,5,5
Marcelo B. Pereira,Gelson Monteiro,1,5,5
David Holl,Davi de Carvalho Diniz Melo,1,3,3
David Holl,Jamil Alexandre Ayach Anache,1,3,3
David Holl,Valéria Peixoto Borges,1,3,3
David Holl,Diego G. Miralles,1,3,3
David Holl,Brecht Martens,1,3,3
David Holl,Joshua B. Fisher,1,3,3
David Holl,Rodolfo Nóbrega,1,3,3
David Holl,A. Moreno,1,3,3
David Holl,Osvaldo Cabral,1,3,3
David Holl,Thiago Rangel Rodrigues,1,3,3
David Holl,Bergson G. Bezerra,1,3,3
David Holl,Cláudio Moisés Santos e Silva,1,3,3
David Holl,Antônio Alves Meira Neto,1,3,3
David Holl,M. S. B. de Moura,1,3,3
David Holl,Thiago V. Marques,1,3,3
David Holl,Suany Campos,1,3,3
David Holl,José de Souza Nogueira,1,3,3
David Holl,Rafael Rosolem,1,3,3
David Holl,Rodolfo Souza,1,3,3
David Holl,Antônio Celso Dantas Antonino,1,3,3
David Holl,Mauricio Galleguillos,1,3,3
David Holl,Jorge F. Pérez‐Quezada,1,3,3
David Holl,Anne Verhoef,1,3,3
David Holl,Lars Kutzbach,1,3,3
David Holl,Eduardo Soares de Souza,1,3,3
David Holl,M. I. Gassman,1,3,3
David Holl,Claudio F. Pérez,1,3,3
David Holl,N. Tonti,1,3,3
David Holl,Gabriela Posse,1,3,3
David Holl,Dominik Rains,1,3,3
David Holl,Paulo Tarso Sanches de Oliveira,1,3,3
David Holl,Edson Wendland,1,3,3
Ke Xi,José Marcato,1,6,11
Ke Xi,X. Liu,1,6,6
Ke Xi,Zhenshan Ji,1,6,6
Ke Xi,H. Zhou,1,6,6
Ke Xi,Z. Zhang,1,6,6
Ke Xi,Pengjie Tao,1,6,6
Ke Xi,Liangyu Chen,1,6,6
Vanir Garcia,Diego André Sant’Ana,1,0,0
Vanir Garcia,Marcio Carneiro Brito Pache,1,0,0
Vanir Garcia,José Augusto Correa Martins,1,0,0
Vanir Garcia,Wellington Pereira Soares,1,0,0
Vanir Garcia,Sebastião Lucas Neves de Melo,1,0,0
Vanir Garcia,Vanessa Weber,1,0,0
Vanir Garcia,Natália da Silva Heimbach,1,0,0
Vanir Garcia,Rodrigo Gonçalves Mateus,1,0,0
Vanir Garcia,Hemerson Pistori,1,0,0
Thiago Carvalho,Anderson Corrêa de Lima,1,4,4
Thiago Carvalho,Daniel Bailo,1,4,4
Thiago Carvalho,José Filipe Rozeno Rodrigues,1,4,4
Thiago Carvalho,Wellington Marques de Aquino,1,4,4
Thiago Carvalho,Plabiany Acosta,1,4,4
Vinicius Luiz da Silva Genesio,Débora Maria Barroso Paiva,1,7,7
Vinicius Luiz da Silva Genesio,Renata Pontin de Mattos Fortes,1,7,7
Vinicius Luiz da Silva Genesio,Sandra Souza Rodrigues,1,7,7
Patrik Olã Bressan,Wesley Nunes Gonçalves,1,11,11
Patrik Olã Bressan,José Marcato,1,11,11
Patrik Olã Bressan,Thales Akiyama,1,11,11
Patrik Olã Bressan,Anette Eltner,1,11,11
Patrik Olã Bressan,Fernando Binder,1,11,11
Patrik Olã Bressan,Thomas P. Singer,1,11,11
Marco Aurelio Duarte Alves,Ruben B. Godoy,1,9,9
Marco Aurelio Duarte Alves,Raymundo Cordero Garcia,2,9,9
Marco Aurelio Duarte Alves,João Onofre Pereira Pinto,2,9,9
Marco Aurelio Duarte Alves,Luigi Galotto,2,9,9
Marco Aurelio Duarte Alves,Marcio L. M. Kimpara,1,9,9
Marco Aurelio Duarte Alves,Hebert C. Goncalves Teixeira,1,9,9
Marco Aurelio Duarte Alves,M. Campos,2,9,9
Marco Aurelio Duarte Alves,Herbert Teixeira,1,9,9
Thiago V. Marques,Davi de Carvalho Diniz Melo,1,3,3
Thiago V. Marques,Jamil Alexandre Ayach Anache,1,3,3
Thiago V. Marques,Valéria Peixoto Borges,1,3,3
Thiago V. Marques,Diego G. Miralles,1,3,3
Thiago V. Marques,Brecht Martens,1,3,3
Thiago V. Marques,Joshua B. Fisher,1,3,3
Thiago V. Marques,Rodolfo Nóbrega,1,3,3
Thiago V. Marques,A. Moreno,1,3,3
Thiago V. Marques,Osvaldo Cabral,1,3,3
Thiago V. Marques,Thiago Rangel Rodrigues,1,3,3
Thiago V. Marques,Bergson G. Bezerra,1,3,3
Thiago V. Marques,Cláudio Moisés Santos e Silva,1,3,3
Thiago V. Marques,Antônio Alves Meira Neto,1,3,3
Thiago V. Marques,M. S. B. de Moura,1,3,3
Thiago V. Marques,Suany Campos,1,3,3
Thiago V. Marques,José de Souza Nogueira,1,3,3
Thiago V. Marques,Rafael Rosolem,1,3,3
Thiago V. Marques,Rodolfo Souza,1,3,3
Thiago V. Marques,Antônio Celso Dantas Antonino,1,3,3
Thiago V. Marques,Mauricio Galleguillos,1,3,3
Thiago V. Marques,Jorge F. Pérez‐Quezada,1,3,3
Thiago V. Marques,Anne Verhoef,1,3,3
Thiago V. Marques,Lars Kutzbach,1,3,3
Thiago V. Marques,Eduardo Soares de Souza,1,3,3
Thiago V. Marques,M. I. Gassman,1,3,3
Thiago V. Marques,Claudio F. Pérez,1,3,3
Thiago V. Marques,N. Tonti,1,3,3
Thiago V. Marques,Gabriela Posse,1,3,3
Thiago V. Marques,Dominik Rains,1,3,3
Thiago V. Marques,Paulo Tarso Sanches de Oliveira,1,3,3
Thiago V. Marques,Edson Wendland,1,3,3
João Onofre Pereira Pinto,Moacyr A. G. de Brito,2,9,9
João Onofre Pereira Pinto,Anderson S. Volpato,1,9,9
João Onofre Pereira Pinto,Ruben B. Godoy,3,9,9
João Onofre Pereira Pinto,Edson Antonio Batista,2,9,9
João Onofre Pereira Pinto,Raymundo Cordero Garcia,5,9,9
João Onofre Pereira Pinto,Igor Esdras Silva Ono,1,9,9
João Onofre Pereira Pinto,Vitoria dos Santos Fahed,1,9,9
João Onofre Pereira Pinto,Moacyr Aureliano Gomes de Brito,1,9,9
João Onofre Pereira Pinto,Luís Felipe da S.C. Pereira,1,9,9
João Onofre Pereira Pinto,Leon M. Tolbert,1,9,9
João Onofre Pereira Pinto,Luigi Galotto,2,9,9
João Onofre Pereira Pinto,Marcio L. M. Kimpara,2,9,9
João Onofre Pereira Pinto,Hebert C. Goncalves Teixeira,1,9,9
João Onofre Pereira Pinto,M. Campos,2,9,9
João Onofre Pereira Pinto,Felipe Alexandre Monteiro,1,9,9
João Onofre Pereira Pinto,Thyago Estrabis,1,9,9
João Onofre Pereira Pinto,Raymundo Cordero,1,9,9
João Onofre Pereira Pinto,Montemor Juliana,1,9,9
João Onofre Pereira Pinto,Faete Filho,1,9,9
João Onofre Pereira Pinto,Walter I. Suemitsu,1,9,9
João Onofre Pereira Pinto,Brayan Sobral da Fonseca,1,9,9
João Onofre Pereira Pinto,Angelo Darcy Molin Brun,1,9,9
João Onofre Pereira Pinto,Alex Butinhol Belini,1,9,9
João Onofre Pereira Pinto,Herbert Teixeira,1,9,9
João Onofre Pereira Pinto,Raymundo C. Garcia,1,9,9
João Onofre Pereira Pinto,Raymundo Cordero García,1,9,9
João Onofre Pereira Pinto,Marcio Afoso Soleira Grassi,1,9,9
Maria Fernanda Moura,Solange Oliveira Rezende,1,10,10
Maria Fernanda Moura,Ricardo Marcondes Marcacini,1,10,10
Maria Fernanda Moura,Lusas S. Rodrigues,1,10,10
Andre Hora,Aline Brito,1,5,5
Andre Hora,Laerte Xavier,1,5,5
Andre Hora,Marco Tulio Valente,1,5,5
Débora Maria Barroso Paiva,André Pimenta Freire,3,7,7
Débora Maria Barroso Paiva,Renata Pontin de Mattos Fortes,7,7,7
Débora Maria Barroso Paiva,Luciana Zaina,1,7,7
