node,degree,betweenness,eigenvector,clustering,degree_raw
Edson Takashi Matsubara,0.10817307692307693,0.48562763633933026,0.11525927371928234,0.013554138862211462,45
Edson Antonio Batista,0.06971153846153846,0.33114310376268996,0.050480734019792146,0.017152170353593198,29
Awdren Fontão,0.10096153846153846,0.22751813698349843,0.0032765954185825273,0.009028007516263065,42
José Marcato,0.2451923076923077,0.17392820900004938,0.5393955399417538,0.008621945635044306,102
Ricardo Santos,0.04807692307692308,0.15651908072044443,0.001370433415762475,0.016957574223418658,20
Henrique Mongelli,0.03365384615384616,0.15524791473586655,0.0028640551025077223,0.02008765181284024,14
Wesley Nunes Gonçalves,0.19951923076923078,0.14421696653571303,0.48724954147889954,0.010766877437729208,83
Edson N. Cáceres,0.021634615384615384,0.12672613531047267,0.00013819151023169963,0.025616701999977853,9
Thiago Rangel Rodrigues,0.125,0.12336023389247741,0.03843170746047543,0.023215616095666698,52
Doglas W. Sorgatto,0.007211538461538462,0.10898980537534754,2.9698410795915796e-06,0.045240293609915105,3
Ricardo Marcondes Marcacini,0.06009615384615385,0.10084518511751614,0.0034395958076653614,0.019829679070854117,25
Débora Maria Barroso Paiva,0.05288461538461539,0.07462542477602718,1.4957290251981472e-07,0.011812291580058238,22
Plabiany Rodrigo Acosta,0.03605769230769231,0.07066669018909591,0.046449621054270036,0.032373085770764934,15
Jonathan Li,0.14903846153846154,0.0701689088287191,0.4046889358020759,0.014637360883805127,62
Pedro Zamboni,0.0625,0.06760054428189248,0.17968843425978748,0.03646753864702373,26
Raymundo Cordero Garcia,0.04807692307692308,0.05825242866138078,0.0017487906428717674,0.019987990912662904,20
Paulo Tarso Sanches de Oliveira,0.09375,0.058234701869548725,0.034351306411144575,0.037200976646426284,39
Jonathan de Andrade Silva,0.05288461538461539,0.05257189980696798,0.06619393600688699,0.02376167794539541,22
Frank Dehne,0.01201923076923077,0.046196323756564524,7.166314169806864e-05,0.057797631496846205,5
Jayme L. Szwarcfiter,0.01201923076923077,0.046196323756564524,7.166314169806864e-05,0.05779763149684619,5
Thyago Estrabis,0.03365384615384616,0.0397064779670845,0.001289016328014511,0.024489714688599923,14
Hemerson Pistori,0.09375,0.03909538959678088,0.09995970767047281,0.019794221925166552,39
Igor Steinmacher,0.02403846153846154,0.038923097066922194,0.00012568069922582422,0.040894118739394296,10
Eraldo Rezende Fernandes,0.014423076923076924,0.03356089191932549,3.866068916314144e-05,0.03257228615484385,6
Laisa Almeida,0.040865384615384616,0.031325979925289425,0.08052311976774602,0.04679261532722413,17
Rodrigo Silva,0.040865384615384616,0.031325979925289425,0.08052311976774602,0.04679261532722413,17
Castro Júnior,0.038461538461538464,0.030687067709264007,0.016898355602324746,0.015128334325984238,16
Erlandson Ferreira Saraiva,0.019230769230769232,0.028510194624652454,6.17353846599056e-05,0.025872362379559595,8
Mariana Caravanti de Souza,0.021634615384615384,0.028285878390639133,0.004269342631575218,0.04893017805506897,9
Maria Istela Cagnin,0.02403846153846154,0.02793867778807538,1.4471189379931663e-07,0.023037610397920183,10
Hudson Silva Borges,0.019230769230769232,0.02723190923868636,9.943036281661534e-05,0.03293608186496399,8
José Carlos Maldonado,0.009615384615384616,0.026308117083719492,9.388719634384954e-06,0.08039151005431412,4
Bruno Cafeo,0.05048076923076923,0.02471271324057469,0.0005139202484343244,0.01746577961475438,21
Lucas Wanner,0.014423076923076924,0.024508997528575948,4.5975746500155066e-05,0.061886894974186334,6
Anderson Corrêa de Lima,0.04567307692307693,0.022192804749570274,0.0026932014639549015,0.013740661730532299,19
Diogo Nunes Gonçalves,0.05288461538461539,0.020718487405806438,0.14220028932342516,0.04061561276223832,22
Anderson Viçoso de Araujo,0.014423076923076924,0.019091751621872103,8.470743307767591e-07,0.023333333333333334,6
Mariana Villela Flesch,0.004807692307692308,0.019045412418906393,1.413959693623101e-06,0.07211247851537042,2
Mauro dos Santos de Arruda,0.02403846153846154,0.017533290854932073,0.04629493932607113,0.06355968552102417,10
Jonathan Silva,0.026442307692307696,0.015491733133077421,0.04798514137457325,0.06122811444793962,11
Vanessa Jordão Marcato Fernandes,0.026442307692307696,0.015491733133077421,0.04798514137457325,0.061228114447939616,11
Zhipeng Luo,0.03365384615384616,0.0153936838472619,0.06926470912128933,0.04514422293811852,14
